year,species,origin,cult_star,no_parents,endpoint,factor,tank,tank_rep,assess_date,larval_age,rep,vol_sampl,vol_conc,vol_subsampl,L_counted,L_total_sampl,density,L_tank_total,comments,use_in_model,reason_for_exclusion
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,5,500,30,3,29,290,0.58,49300,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,15/12/2022,3,6,500,30,3,37,370,0.74,62900,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,1,500,40,3,39,520,1.04,88400,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,2,500,40,3,17,227,0.45,38533,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,3,500,40,3,15,200,0.4,34000,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,4,500,40,3,17,227,0.45,38533,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,5,500,40,3,19,253,0.51,43067,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,16/12/2022,4,6,500,40,3,21,280,0.56,47600,,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,1,500,30,3,26,260,0.52,44200,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,2,500,30,3,21,210,0.42,35700,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,3,500,30,3,19,190,0.38,32300,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,4,500,30,3,16,160,0.32,27200,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,5,500,30,3,21,210,0.42,35700,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_05,1,17/12/2022,5,6,500,30,3,31,310,0.62,52700,Larvae look great.,Yes,NA
Dec-22,Dfavus,Falcon Island north (Palm islands),12/12/2022,5,Larval survival,M,MN_08,2,13/12/2022,1,1,500,30,3,22,220,0.44,37400,"Larvae already swimming! Weird, broken and dead larvae observed.",Yes,NA
